Cycle,TimeDelta
0,290
1,288
2,287
3,289
4,295
5,292
6,288
7,292
8,290
9,294
0,396
1,396
2,395
3,397
4,393
5,406
6,394
7,400
8,388
9,394
0,36
1,25
2,34
3,29
4,34
5,25
6,35
7,25
8,33
9,25
