Cycle,TimeDelta
0,240
1,466
2,314
3,505
4,706
5,634
6,632
7,530
8,539
9,507
0,720
1,643
2,618
3,714
4,587
5,638
6,684
7,553
8,559
9,546
0,38
1,46
2,32
3,46
4,42
5,38
6,41
7,41
8,31
9,44
