Waypoint,Idleness_Values
0,768.751903,845.590693,874.226277,782.621114,753.431479,780.15035,804.873351,953.230782,958.187564
1,798.189248,836.753069,893.11412,768.850943,741.22226,811.544494,798.040451,945.473409,955.584551
2,814.867863,816.376344,904.169322,766.338939,743.0216,811.953968,807.712695,951.650125,949.76613
3,815.288489,822.514206,902.132767,756.807525,747.870687,822.396146,814.423605,960.077792,938.112258
4,777.501435,844.969862,882.592255,759.4647,754.641622,812.42438,827.465311,945.368877,960.596546
5,811.93303,828.096222,856.004764,755.391048,773.874194,806.182607,852.310275,925.582185,953.559511
6,827.116673,813.936123,851.782148,754.979507,777.295263,807.213113,881.387486,908.131556,958.662787
7,828.943665,815.15505,842.433843,760.617745,772.780453,823.66295,884.735646,914.186523,947.131259
8,840.19826,824.329271,822.109805,761.24844,793.169269,812.192099,899.508772,913.388675,949.717124
9,842.533633,824.639058,826.312322,747.72523,808.621597,805.984398,925.594111,910.748666,931.754576
10,854.81042,813.596627,831.711673,749.946626,798.096848,813.819892,927.803901,913.522758,952.746578
11,858.686219,813.651161,838.14231,737.396687,814.291049,809.264038,924.505197,932.783962,942.088762
12,866.137809,803.137743,839.964974,735.878185,800.166156,814.389585,934.47862,916.630473,958.254026
13,864.245991,802.967592,850.8284,712.990116,803.550345,818.707607,946.012371,919.342801,946.279789
14,862.454503,810.310835,849.225558,705.472211,799.831602,845.645069,933.004223,919.449741,955.495493
15,858.241545,783.857455,864.972528,704.754486,798.148151,837.53358,947.831212,916.808369,946.271715
16,848.326796,780.456358,860.933644,725.268444,791.29586,830.313937,958.764114,940.924535,934.414845
17,848.288852,800.673153,845.698138,729.589825,803.657734,809.51542,987.574456,943.735955,914.824389
18,852.266566,804.404041,820.034753,757.542149,784.53674,820.858066,966.22759,937.072379,924.164175
19,869.495747,814.087037,824.654172,762.241716,756.32747,814.251158,961.446251,947.496308,900.565572
20,822.878386,838.63342,797.205263,760.500957,798.30852,810.556396,932.950983,964.204545,885.792325
21,843.088698,841.6558,809.926424,772.117574,785.016481,809.751046,924.017941,981.822404,854.456851
22,858.684926,832.698441,802.012239,762.978285,806.488458,794.004928,934.93521,983.151503,856.842401
23,849.743778,860.008428,780.442158,755.641859,811.438701,784.643496,965.425997,973.729571,843.38793
24,848.585259,873.262941,779.4659,757.52699,793.168751,796.198916,973.950926,970.298603,835.02574
25
0,32.952438,25.803138,32.70469,23.554008,37.255282,24.753618,34.511223,24.500616,33.505561
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
0,34.155752,24.909606,34.951114,24.705575,32.75455,25.106129,33.655026,23.856529,32.35528
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
