Waypoint,Idleness_Values
0,539.808685,575.358739,568.597532,629.387808,566.294463,425.884313,560.601754,592.844498,618.950487
1,577.055787,557.599449,587.080653,617.139761,559.845518,421.466374,573.383447,602.280517,621.986258
2,568.735169,553.512849,591.074205,616.23275,550.743652,421.845051,573.19199,602.465234,622.496675
3,497.705687,545.304061,626.745139,627.895147,503.009761,421.858186,590.762304,600.138908,617.68479
4,492.82636,545.903975,627.639657,650.182764,514.301384,383.949802,619.141613,559.133476,647.615332
5,496.543055,541.635899,643.394159,639.706033,504.860637,383.780021,634.89936,561.738453,634.963992
6,491.932814,557.289327,632.986087,648.517558,489.838728,389.574543,639.415995,578.50852,618.481485
7,512.217022,534.624465,639.506528,641.096062,484.542971,399.228774,642.600364,590.856247,593.392447
8,503.13656,549.227856,640.173443,616.582339,481.856891,383.292439,679.254639,570.839068,590.03976
9,513.52019,532.163717,653.596287,620.92022,472.522182,385.537692,680.591629,595.129157,567.912846
10,514.045724,544.508598,640.34701,647.81982,446.164466,417.734113,667.950646,598.205493,565.104301
11,499.941411,564.075291,627.802982,652.144057,430.203563,463.673096,632.152473,615.456132,565.66062
12,497.253299,575.724305,655.645412,612.364881,423.288026,489.801199,620.577271,636.411532,553.52584
13,530.882546,570.849022,646.687723,589.717804,417.335029,523.159032,599.900396,634.861104,567.922714
14,531.443769,590.267983,621.889172,593.955738,407.612256,535.677468,597.905246,634.977716,589.320407
15,536.383826,586.262788,622.180442,586.944887,422.562088,535.103768,587.646272,634.882932,603.255671
16
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
