Cycle,TimeDelta
0,734
1,676
2,759
3,686
4,718
5,656
6,724
7,646
8,618
9,816
0,547
1,490
2,543
3,433
4,453
5,337
6,276
7,292
8,380
9,452
0,298
1,488
2,296
3,319
4,250
5,220
6,199
7,214
8,205
9,212
