Cycle,TimeDelta
0,907
1,796
2,776
3,887
4,812
5,755
6,807
7,766
8,721
9,609
0,181
1,168
2,296
3,180
4,225
5,270
6,211
7,228
8,232
9,209
0,29
1,36
2,30
3,64
4,31
5,55
6,56
7,72
8,59
9,47
0,540
1,534
2,452
3,395
4,457
5,411
6,421
7,367
8,414
9,516
0,336
1,316
2,301
3,266
4,322
5,231
6,303
7,282
8,263
9,244
0,220
1,222
2,243
3,208
4,207
5,229
6,257
7,419
8,261
9,323
