Waypoint,Idleness_Values
0,421.347183,483.603703,388.794386,375.238973,374.964632,372.468421,374.726079,343.279234,351.370499
1,441.247259,461.709935,399.828257,371.952734,355.502189,376.662799,387.343823,327.89325,357.130322
2,435.009183,475.686399,370.768552,367.693881,384.443874,345.556216,390.65255,328.209783,339.261141
3,434.423704,441.093284,387.493356,354.117065,361.130091,380.988757,373.999584,351.232496,330.007782
4,441.308403,448.394907,351.724421,381.811908,329.118768,419.453412,336.805201,362.981573,331.629602
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
0,514.351114,463.971958,573.041184,526.434595,491.372661,488.18215,484.280694,440.337676,442.883547
1,532.48363,450.658378,597.090648,491.858036,495.019591,490.045888,489.731869,430.790387,426.617452
2,520.181337,481.676757,596.153809,481.217577,493.848281,461.183118,515.94293,433.201785,424.376246
3,515.474564,473.556719,573.161262,508.536845,475.950024,499.655554,488.527285,433.792889,417.76702
4,548.172609,474.700976,550.463656,510.80204,504.615079,460.93834,506.342431,428.296106,387.576854
5,530.00001,512.0871,531.16816,513.795391,515.055962,453.124428,490.730739,419.301532,383.651399
6,521.284424,512.155854,552.148888,496.659493,499.059307,495.337002,458.794066,433.875247,357.687008
7,475.000166,540.539451,550.448613,497.051458,481.038413,502.363993,440.628614,432.982686,353.476918
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
0,371.713105,317.779795,342.304445,293.474285,276.771007,247.859842,296.787241,284.814381,256.220208
1,361.726169,328.42519,340.596167,289.712551,279.777702,249.706242,297.44441,272.277356,270.670764
2,348.800521,329.225626,335.580406,303.442258,270.325773,254.420123,291.534391,280.714064,254.616423
3,345.482437,325.230388,346.512226,291.297188,256.174444,269.165234,301.14759,255.138652,266.058508
4,337.44292,346.117382,314.883722,299.628133,251.558268,270.459221,305.861853,247.111702,287.336545
5,307.295306,334.491592,317.975755,297.416384,237.40577,292.03824,306.35894,244.411482,275.686548
6,301.75249,334.301353,305.936947,287.151657,244.817738,283.606413,302.446341,261.172839,269.362323
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
0,245.513877,267.674803,240.863199,316.488838,249.945613,222.009369,224.513064,226.220052,238.26576
1,254.636191,252.919974,266.948032,278.96933,278.743739,217.790607,216.188119,213.878664,246.199968
2,252.430877,253.019825,274.574362,276.254552,259.079339,234.354685,211.265513,211.766978,240.293259
3,277.515293,226.934711,279.89467,263.712762,261.175825,231.453016,229.220276,222.700424,221.732809
4,289.662313,216.29605,321.634718,222.976127,255.562738,231.851163,222.599142,232.830572,213.002672
5,285.747669,246.69714,298.859719,221.770618,249.139913,235.265532,233.534358,219.3836,219.118794
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
