Waypoint Index,X,Y
0,236,32
1,364,124
2,295,82
3,70,33
4,166,60
5,164,29
6,123,60
7,236,131
8,247,153
9,17,80
10,192,217
11,132,217
12,306,195
13,249,175
14,197,197
15,107,212
16,172,191
17,151,107
18,163,129
19,111,108
20,96,129
21,122,165
22,174,150
23,149,167
24,18,129
25,56,131
26,3,99
27,44,189
28,81,166
