Waypoint,Idleness_Values
0,418.251956,441.309091,431.657375,410.623192,452.728276,468.43094,413.871596,421.440008,426.807612
1,437.021075,461.600262,426.441637,400.112542,465.82911,449.073112,422.629918,414.813549,430.391577
2,421.247766,456.003426,441.716876,400.499847,476.361571,425.490176,430.442298,430.489143,408.563984
3,411.817364,458.926381,445.83236,416.501395,453.126485,425.896286,433.568208,429.279571,408.74792
4,447.166877,431.175913,458.68487,412.779535,441.287565,427.552427,457.361166,419.402232,405.296754
5,460.899231,422.516128,431.171513,421.483792,431.676582,437.815658,468.577561,389.768316,414.628599
6,463.036912,413.515611,433.973396,434.126698,431.149861,429.091626,461.430122,410.246658,404.103763
7,475.211555,436.843684,421.614554,447.298185,449.712334,421.840322,430.497558,429.620023,385.021647
8,439.492895,440.674527,417.627062,465.24695,441.46901,427.951978,424.185823,422.211031,394.236107
9,441.832092,432.170996,421.33014,458.612984,463.062034,412.885354,415.551847,437.06161,408.624381
10,444.463461,432.791505,424.72309,439.638018,469.386811,411.192704,416.166826,436.962445,415.644748
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
0,341.943462,336.213321,340.571279,382.14362,377.235791,353.094503,338.791449,416.377661,363.120236
1,374.074605,323.964868,362.664633,360.241869,377.43764,343.655922,353.580879,395.140571,355.456906
2,416.557903,308.136923,341.186568,351.659173,413.251957,318.77599,363.825804,360.987593,356.244922
3,356.311738,321.403237,379.91394,330.564629,378.532576,330.036587,389.021915,353.189567,354.005313
4,349.488755,321.510323,393.964526,322.028079,372.515548,338.279956,380.381296,369.53283,348.071108
5,349.296283,321.719074,393.251006,317.113552,373.931648,356.144607,391.914042,376.251165,338.238534
6,364.473747,321.62646,402.638968,324.770884,379.557714,338.663775,397.823079,365.304483,344.953439
7,368.980309,322.335007,407.367563,349.982702,353.033131,335.146636,412.198828,370.199438,340.934275
8,358.69702,327.344399,395.039119,366.23667,337.899601,345.072086,409.576154,367.68065,341.529649
9,355.467021,340.797969,384.830754,362.787314,349.076762,338.418988,432.877557,359.539223,344.92895
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
0,193.401429,243.52139,270.983595,386.322338,228.753721,220.41051,247.474371,224.713675,184.355551
1,191.298018,242.10536,296.397336,384.524596,206.350971,234.762262,243.357605,212.655857,183.856378
2,199.854647,267.535099,265.522338,385.838416,214.169836,222.515748,236.924968,218.584501,182.153639
3,238.356368,227.922448,365.392465,295.001704,222.507549,224.539166,228.37276,205.632969,181.551689
4,247.871668,241.104106,368.895442,273.813472,218.686558,232.792188,230.253297,196.402288,178.032997
5,244.560093,250.045125,406.249987,222.098904,233.348744,231.582871,229.041151,191.895028,174.207931
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
