Cycle,TimeDelta
<<<<<<< HEAD
0,418
1,441
2,431
3,410
4,452
5,468
6,413
7,421
8,426
9,390
0,341
1,336
2,340
3,382
4,377
5,353
6,338
7,416
8,363
9,341
0,193
1,243
2,270
3,386
4,228
5,220
6,247
7,224
8,184
9,176
=======
0,952
1,746
2,725
3,788
4,746
>>>>>>> 82fe7b57d4be8fb3aaed57b5592c1d046b819a77
