Cycle,TimeDelta
0,104
1,158
2,172
3,149
4,125
5,167
6,141
7,157
8,143
9,169
0,191
1,231
2,232
3,143
4,180
5,230
6,195
7,184
8,157
9,199
0,253
1,228
2,244
3,258
4,288
5,294
6,257
7,241
8,199
9,205
0,128
1,122
2,89
3,127
4,124
5,185
6,130
7,125
8,128
9,93
