Cycle,TimeDelta
0,294
1,297
2,294
3,291
4,296
5,290
6,289
7,293
8,292
9,296
0,207
1,197
2,209
3,197
4,206
5,200
6,207
7,198
8,205
9,197
0,217
1,219
2,217
3,217
4,216
5,219
6,219
7,218
8,222
9,216
