Waypoint,Idleness_Values
0,294.985209,297.470324,294.523785,291.468773,296.010753,290.021199,289.989771,293.008946,292.967261
1,295.685529,298.172311,294.022809,291.877497,296.008965,289.616357,291.604692,292.708794,291.159514
2,297.489912,298.072163,293.023404,292.281089,296.203127,288.413104,293.516154,291.912984,291.462059
3,297.090068,296.667891,292.623666,293.394552,295.995857,287.715178,293.31709,292.614068,290.858218
4,299.098344,294.4717,291.209737,295.098832,294.796949,289.226172,292.208648,293.715926,290.573483
5,298.199281,295.372276,290.812793,296.208284,294.692036,287.726241,292.005348,294.111148,292.481102
6,297.496561,295.077756,290.910101,296.517364,293.879318,288.5441,291.703229,293.303469,294.682634
7,297.295026,294.483349,292.218977,296.10856,292.371079,288.543498,292.215714,293.000223,296.286685
8,298.001448,293.088044,291.911047,296.50561,292.181503,287.830905,293.018807,292.904412,297.787179
9,297.498743,294.49589,291.5144,296.300946,289.976705,289.937283,293.018063,293.016263,296.272033
10
11
12
13
14
15
16
17
18
19
20
21
22
23
0,207.870178,197.350353,209.470076,197.10913,206.079139,200.661607,207.469957,198.265328,205.56261
1,198.647025,206.369626,200.935329,205.935131,195.957374,210.396339,197.632475,206.999035,197.031468
2,207.566358,197.448241,209.970161,197.096886,204.988135,200.969831,207.058645,197.968816,205.965539
3,198.44648,205.963368,200.948378,206.628966,195.348891,211.607135,198.126466,205.894102,197.435209
4,207.582485,197.930094,208.28444,197.28472,205.984553,201.990945,207.237056,197.271378,206.158964
5,197.043842,208.167856,198.347715,206.319633,198.157479,209.212749,199.010427,205.600409,197.736371
6,205.961026,198.947323,207.981324,196.084209,208.48523,198.586843,208.639433,196.267381,206.56553
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
0,217.210061,219.028115,217.92727,217.055456,216.925014,219.552283,219.526184,218.976396,222.021831
1,215.700781,221.04489,218.430118,215.547447,215.818011,220.458314,221.935669,216.469503,222.319039
2,215.997771,220.949098,218.026799,216.057336,215.517595,220.455857,221.929268,216.480007,222.613026
3,217.817909,219.540181,218.330056,217.061466,214.720393,221.751059,221.030973,217.501673,220.281543
4,217.731296,219.535538,218.222995,216.171044,217.011035,221.553326,219.431346,218.11622,219.970678
5,220.035155,219.042925,217.439259,216.948748,217.518588,220.852015,219.924476,216.907427,220.572301
6,218.932659,218.0575,216.916976,217.152109,219.4225,219.457244,219.016758,217.503819,220.470424
7,219.026347,217.95532,217.118984,216.955711,219.419661,219.562793,218.914253,222.033205,216.042288
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
