Waypoint,Idleness_Values
0,304.641479,248.016158,308.474189,340.070096,335.97606,257.019593,266.462081,302.033087,266.957207
1,341.577564,315.848327,289.454449,349.826729,328.420726,276.829661,264.045759,278.898578,303.05638
2,292.736586,342.016227,267.844573,363.000762,288.689062,280.257324,296.003055,275.736219,318.829979
3,253.476924,314.402377,340.023612,335.943798,257.020118,266.503803,299.001198,265.471114,353.51256
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
0,502.03134,402.468885,488.52825,449.970791,461.028585,492.018755,426.955434,409.522866,434.475526
1,478.518309,424.404113,503.595757,427.688749,422.413463,559.880363,400.261052,421.179318,437.232928
2,435.545673,474.401695,458.37836,466.105759,435.794219,501.543992,439.641529,385.817866,463.728007
3,435.12889,471.119752,466.261501,463.607727,450.56521,466.98645,437.436355,406.491289,435.479067
4,434.904804,471.099373,466.475343,459.007621,459.468587,457.959416,446.573883,397.476059,439.967134
5,403.002267,485.604333,447.17775,450.438779,468.858758,468.61806,413.776875,429.391675,415.260598
6,402.239202,488.386478,454.823373,451.874072,500.899867,418.082227,418.416206,420.956439,427.311253
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
0,410.98807,404.270751,402.54253,249.253011,261.364739,275.792255,235.702664,287.327081,339.163702
1,375.685452,390.457745,386.560394,241.914646,286.14048,247.396331,249.450624,272.58543,359.931692
2,371.000524,451.962938,329.565253,247.408655,280.516653,252.006928,254.983339,262.948239,368.558255
3,345.994971,456.614295,293.032704,239.370644,301.179285,253.203839,233.619625,259.545426,408.38472
4,341.850929,445.992803,276.013881,244.672099,296.771922,251.997512,245.453475,254.533182,422.218693
5,345.966155,445.978346,257.635153,240.255984,293.265664,251.485276,264.821119,285.657002,374.834465
6,342.864723,423.869995,264.023692,239.547838,298.904064,238.532802,288.691529,335.823355,324.472021
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
0,316.609494,268.527199,220.961189,225.568294,220.460863,217.057816,218.467471,220.010403,220.512401
1,320.332419,257.578428,221.061794,227.078745,219.871061,217.355668,218.263168,220.916398,219.097596
2,301.078027,255.470816,224.972278,223.070523,219.97268,217.547284,217.964923,220.930227,219.081906
3,289.937348,248.842742,225.281131,221.266902,221.470648,216.7499,217.777141,220.711198,218.374302
4,297.06074,226.464503,225.581399,222.477044,219.457714,217.564081,218.469209,220.429309,217.058045
5,279.292885,222.050333,227.805985,219.050971,219.055238,218.077898,219.258457,220.226668,215.961227
6,270.570723,221.045932,228.51211,218.349785,219.050959,218.685536,219.860532,220.526123,215.461924
7,271.482276,219.028269,228.423051,218.643393,218.94757,218.38479,220.15524,220.440489,215.561777
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
